noteId,status,sourceUrl,authorNickname,fetchedAt,imageCount,license,reason,requester,timestamp
"s030f02ab255","ACTIVE","https://www.xiaohongshu.com/explore/s030f02ab255","人文旅行者A 3619","2026-03-02","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s031b2207118","ACTIVE","https://www.xiaohongshu.com/explore/s031b2207118","周末去哪儿-宁夏站 3734","2026-04-20","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s032197cf5e3","ACTIVE","https://www.xiaohongshu.com/explore/s032197cf5e3","人文旅行者A 5734","2026-04-04","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0338aee8836","ACTIVE","https://www.xiaohongshu.com/explore/s0338aee8836","摄影师大漠 9425","2026-06-10","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0346125a443","ACTIVE","https://www.xiaohongshu.com/explore/s0346125a443","周末去哪儿-宁夏站 4619","2026-03-03","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0355a1ad92d","ACTIVE","https://www.xiaohongshu.com/explore/s0355a1ad92d","宁夏旅行研究所 9903","2026-06-09","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s03681064992","ACTIVE","https://www.xiaohongshu.com/explore/s03681064992","人文旅行者A 6458","2026-08-19","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s037ff03a46d","ACTIVE","https://www.xiaohongshu.com/explore/s037ff03a46d","家庭旅行笔记 3176","2026-06-07","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0381bff8e79","ACTIVE","https://www.xiaohongshu.com/explore/s0381bff8e79","宁夏旅行研究所 7727","2026-04-25","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s039f9d5c13d","ACTIVE","https://www.xiaohongshu.com/explore/s039f9d5c13d","贺兰山下的猫 7882","2026-07-19","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s040bc867d52","ACTIVE","https://www.xiaohongshu.com/explore/s040bc867d52","黄河边的小马哥 4036","2026-04-28","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0419a551f94","ACTIVE","https://www.xiaohongshu.com/explore/s0419a551f94","银川小吃货 2357","2026-04-11","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s042611a4a7e","ACTIVE","https://www.xiaohongshu.com/explore/s042611a4a7e","西北追风日记 3597","2026-08-11","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s043c329fe6f","ACTIVE","https://www.xiaohongshu.com/explore/s043c329fe6f","周末去哪儿-宁夏站 7111","2026-06-07","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s044b55d8eb8","ACTIVE","https://www.xiaohongshu.com/explore/s044b55d8eb8","家庭旅行笔记 4309","2026-06-20","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s045d03b9b22","ACTIVE","https://www.xiaohongshu.com/explore/s045d03b9b22","自驾宁夏-老司机 7054","2026-05-04","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0464a600ecc","ACTIVE","https://www.xiaohongshu.com/explore/s0464a600ecc","星空摄影爱好者 4154","2026-07-01","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0471097bac5","ACTIVE","https://www.xiaohongshu.com/explore/s0471097bac5","摄影师大漠 8516","2026-06-19","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0484c8bd0af","ACTIVE","https://www.xiaohongshu.com/explore/s0484c8bd0af","贺兰山下的猫 9295","2026-05-06","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0495a643bec","ACTIVE","https://www.xiaohongshu.com/explore/s0495a643bec","黄河边的小马哥 1252","2026-04-17","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s05026ba9965","ACTIVE","https://www.xiaohongshu.com/explore/s05026ba9965","小众目的地发掘 9062","2026-05-12","1","for-reference-only","","","2026-08-24T04:37:13Z"
